HD,Antibody,ID_Slidescanner,Image,Positive Class,Negative Class,Positivity Rate
401,TLR2,slide-2023-06-02T09-36-13-R1-S6,slide-2023-06-02T09-36-13-R1-S6,3969,4449,47.14896650035638
423,TLR2,slide-2023-06-02T09-26-12-R1-S2,slide-2023-06-02T09-26-12-R1-S2,1861,3163,37.0421974522293
405,TLR2,slide-2023-06-02T09-31-03-R1-S4,slide-2023-06-02T09-31-03-R1-S4,1440,783,64.77732793522267
435,TLR2,slide-2023-06-02T09-24-14-R1-S1,slide-2023-06-02T09-24-14-R1-S1,3469,959,78.3423667570009
409,TLR2,slide-2023-06-02T09-28-34-R1-S3,slide-2023-06-02T09-28-34-R1-S3,10376,237,97.76688966362009
402,TLR2,slide-2023-06-02T09-33-04-R1-S5,slide-2023-06-02T09-33-04-R1-S5,1934,1937,49.961250322913976
