sample_ID,Antibody,ID_Slidescanner,Image,Parent,Positive Class,Negative Class,Positivity Rate
405,C. acnes,slide-2023-06-01T16-22-06-R3-S23,slide-2023-06-01T16-22-06-R3-S23,Region,670,291,69.71904266389178
5,C. acnes,slide-2023-06-01T12-16-33-R3-S3,slide-2023-06-01T12-16-33-R3-S3,Region,139,1484,8.564386937769562
2,C. acnes,slide-2023-06-01T12-10-21-R3-S1,slide-2023-06-01T12-10-21-R3-S1,Region,2050,5,99.7566909975669
4,C. acnes,slide-2023-06-01T12-14-00-R3-S2,slide-2023-06-01T12-14-00-R3-S2,Region,1674,197,89.470871191876
402,C. acnes,slide-2023-06-01T16-26-39-R3-S25,slide-2023-06-01T16-26-39-R3-S25,Region,403,797,33.583333333333336
423,C. acnes,slide-2023-06-01T16-15-59-R3-S20,slide-2023-06-01T16-15-59-R3-S20,Region,364,1728,17.399617590822178
